Date,TM_Open,TM_High,TM_Low,TM_Close,TM_Adj Close
2023-01-18,148.0,148.10000610351562,145.07000732421875,145.50999450683594,145.50999450683594
2023-01-19,144.8800048828125,145.10000610351562,143.6199951171875,144.17999267578125,144.17999267578125
2023-01-20,144.9199981689453,146.32000732421875,144.5,146.11000061035156,146.11000061035156
2023-01-23,145.77000427246094,146.58999633789062,145.1199951171875,146.02999877929688,146.02999877929688
2023-01-24,150.39999389648438,150.39999389648438,145.0,146.00999450683594,146.00999450683594
2023-01-25,145.97999572753906,146.47000122070312,145.2100067138672,146.14999389648438,146.14999389648438
2023-01-26,145.52000427246094,146.19000244140625,144.41000366210938,145.47000122070312,145.47000122070312
2023-01-27,146.0,147.72999572753906,145.74000549316406,147.16000366210938,147.16000366210938
2023-01-30,146.0,146.2899932861328,145.08999633789062,145.17999267578125,145.17999267578125
2023-01-31,146.3000030517578,147.11000061035156,145.8800048828125,147.11000061035156,147.11000061035156
2023-02-01,146.5800018310547,149.00999450683594,146.5800018310547,148.5800018310547,148.5800018310547
2023-02-02,147.0,147.36000061035156,144.61000061035156,146.6199951171875,146.6199951171875
2023-02-03,145.6199951171875,146.41000366210938,144.4499969482422,144.7100067138672,144.7100067138672
2023-02-06,144.0,144.39999389648438,142.97000122070312,143.7899932861328,143.7899932861328
2023-02-07,143.52000427246094,144.97000122070312,143.05999755859375,144.63999938964844,144.63999938964844
2023-02-08,144.0,144.63999938964844,143.30999755859375,143.8300018310547,143.8300018310547
2023-02-09,146.36000061035156,147.49000549316406,144.69000244140625,144.8300018310547,144.8300018310547
2023-02-10,143.6699981689453,143.97999572753906,142.50999450683594,143.4199981689453,143.4199981689453
2023-02-13,142.9499969482422,143.91000366210938,142.55999755859375,143.86000061035156,143.86000061035156
2023-02-14,142.8000030517578,143.1199951171875,141.5500030517578,142.64999389648438,142.64999389648438
2023-02-15,140.41000366210938,140.97999572753906,140.05999755859375,140.97000122070312,140.97000122070312
2023-02-16,141.39999389648438,143.66000366210938,141.32000732421875,142.6999969482422,142.6999969482422
2023-02-17,142.0800018310547,143.0500030517578,141.82000732421875,142.85000610351562,142.85000610351562
2023-02-21,140.16000366210938,140.5800018310547,138.72999572753906,139.17999267578125,139.17999267578125
2023-02-22,138.6999969482422,139.27999877929688,138.2899932861328,138.64999389648438,138.64999389648438
2023-02-23,139.02999877929688,139.49000549316406,138.14999389648438,138.9499969482422,138.9499969482422
2023-02-24,137.1999969482422,137.1999969482422,135.47999572753906,136.0500030517578,136.0500030517578
2023-02-27,137.0,137.13999938964844,135.9600067138672,136.25,136.25
2023-02-28,136.11000061035156,136.58999633789062,135.8800048828125,135.9199981689453,135.9199981689453
2023-03-01,136.66000366210938,137.49000549316406,136.5,136.52999877929688,136.52999877929688
2023-03-02,136.1199951171875,137.33999633789062,136.0800018310547,137.27000427246094,137.27000427246094
2023-03-03,138.57000732421875,139.9199981689453,138.39999389648438,139.8300018310547,139.8300018310547
2023-03-06,140.11000061035156,140.63999938964844,139.9600067138672,140.1300048828125,140.1300048828125
2023-03-07,141.27999877929688,141.38999938964844,138.75,139.0800018310547,139.0800018310547
2023-03-08,139.49000549316406,139.85000610351562,138.97999572753906,139.7100067138672,139.7100067138672
2023-03-09,140.17999267578125,140.67999267578125,138.25999450683594,138.52000427246094,138.52000427246094
