Date,VLVLY_Open,VLVLY_High,VLVLY_Low,VLVLY_Close,VLVLY_Adj Close
2023-01-18,19.8799991607666,19.902000427246094,19.59000015258789,19.610000610351562,18.381908416748047
2023-01-19,19.347999572753906,19.3799991607666,19.104999542236328,19.219999313354492,18.016332626342773
2023-01-20,19.3700008392334,19.700000762939453,19.31999969482422,19.700000762939453,18.466272354125977
2023-01-23,19.719999313354492,19.959999084472656,19.719999313354492,19.915000915527344,18.667808532714844
2023-01-24,20.010000228881836,20.200000762939453,20.010000228881836,20.159000396728516,18.896528244018555
2023-01-25,20.040000915527344,20.280000686645508,19.974000930786133,20.18600082397461,18.921836853027344
2023-01-26,19.670000076293945,19.739999771118164,19.489999771118164,19.729999542236328,18.49439239501953
2023-01-27,19.860000610351562,20.006999969482422,19.799999237060547,19.8700008392334,18.625627517700195
2023-01-30,19.790000915527344,19.8799991607666,19.709999084472656,19.739999771118164,18.503767013549805
2023-01-31,19.6299991607666,19.809999465942383,19.59000015258789,19.804000854492188,18.56376075744629
2023-02-01,19.93000030517578,20.260000228881836,19.84600067138672,20.190000534057617,18.925586700439453
2023-02-02,20.489999771118164,20.6299991607666,20.290000915527344,20.549999237060547,19.26304054260254
2023-02-03,19.860000610351562,20.05699920654297,19.856000900268555,19.899999618530273,18.65374755859375
2023-02-06,19.549999237060547,19.565000534057617,19.329999923706055,19.43000030517578,18.21318244934082
2023-02-07,19.459999084472656,19.75,19.344999313354492,19.75,18.513141632080078
2023-02-08,19.459999084472656,19.469999313354492,19.309999465942383,19.350000381469727,18.13819122314453
2023-02-09,19.899999618530273,20.020000457763672,19.790000915527344,19.81999969482422,18.57875633239746
2023-02-10,19.530000686645508,19.530000686645508,19.360000610351562,19.469999313354492,18.250675201416016
2023-02-13,19.670000076293945,19.829999923706055,19.670000076293945,19.829999923706055,18.588130950927734
2023-02-14,19.75,19.979999542236328,19.663000106811523,19.860000610351562,18.616252899169922
2023-02-15,19.790000915527344,20.0,19.739999771118164,19.975000381469727,18.724050521850586
2023-02-16,19.770000457763672,20.020000457763672,19.719999313354492,19.84000015258789,18.597505569458008
2023-02-17,19.834999084472656,20.079999923706055,19.82900047302246,20.020000457763672,18.766233444213867
2023-02-21,19.969999313354492,20.0,19.70400047302246,19.770000457763672,18.531888961791992
2023-02-22,19.81999969482422,19.8799991607666,19.690000534057617,19.709999084472656,18.475645065307617
2023-02-23,19.940000534057617,20.0,19.780000686645508,19.93000030517578,18.681869506835938
2023-02-24,19.549999237060547,19.614999771118164,19.40999984741211,19.452999114990234,18.234739303588867
2023-02-27,19.799999237060547,19.905000686645508,19.764999389648438,19.790000915527344,18.550636291503906
2023-02-28,19.899999618530273,20.079999923706055,19.882999420166016,19.950000762939453,18.70061683654785
2023-03-01,20.16699981689453,20.214000701904297,19.989999771118164,20.15999984741211,18.897464752197266
2023-03-02,20.06999969482422,20.35099983215332,20.040000915527344,20.31999969482422,19.047443389892578
2023-03-03,20.670000076293945,20.8799991607666,20.58300018310547,20.84000015258789,19.534879684448242
2023-03-06,20.860000610351562,20.940000534057617,20.832000732421875,20.864999771118164,19.558313369750977
